Cod;titulo;autor;editora;valor;publicacao;edicao;idioma
103;O fim do misterio;64;13;461.55;03/02/2002;4;portugues
104;A embriaguez na conquista da América;7;13;89.41;08/03/2007;3;portugues
105;Flow visualization and image analysis ;70;13;28.36;03/08/2010;1;portugues
106;Cost control in the hospitality industry ;57;13;410.42;19/06/2006;5;portugues
107;O meio ambiente para pequenas empresas de construçào civil e suas práticas de gestào ambiental ;37;13;423.5;24/09/2007;3;portugues
108;San Agustân ;49;13;431.35;21/04/2015;3;portugues
109;Manipulaçào e higiene dos alimentos ;50;13;508.52;01/08/2001;4;portugues
110;A técnica e a prática da psicanálise ;24;13;390.26;07/06/2003;5;portugues
111;Introduçào à  educaçào fâsica adaptada para pessoas com deficiência ;44;13;286.99;19/03/2000;2;portugues
112;Materials science for engineers ;23;13;395.81;22/08/2001;2;portugues
113;Populismo penal midiático:;38;13;412.01;15/04/2010;5;portugues
114;Os gestos;3;13;267.95;01/07/2009;5;portugues
115;A doutrina secreta;8;13;404.58;13/11/2007;3;portugues
116;Histíria em revista. -;4;13;291.73;11/02/2006;4;portugues
117;Linux programming by example ;25;13;342.63;04/03/2013;3;portugues
118;L'instauration philosophique ;52;13;470.53;15/03/2010;3;portugues
119;Organizaçào de eventos;33;13;255.68;10/11/2015;2;portugues
120;Alavanque seu potencial;8;13;280.75;31/12/2010;3;portugues
121;Parceria e risco na agricultura do Nordeste ;74;13;331.51;25/12/2014;1;portugues
122;Cosmos and psyche;69;13;142.99;29/01/2007;2;portugues
123;De volta para os braços da rainha dos céus;39;13;393.47;26/04/2014;5;portugues
124;Projeto de pesquisa;67;13;374.78;24/06/2001;3;portugues
125;Bibliografia sobre doenças do milho ;23;13;144.21;21/08/2009;3;portugues
126;Oncologia molecular ;39;13;423.88;17/12/2008;1;portugues
127;Crâtica cultural materialista ;17;13;325.38;25/10/2009;3;portugues
128;O milho;6;13;459.11;07/04/2015;2;portugues
129;Fundamentos do projeto de componentes de máquinas ;67;13;332.1;27/08/2009;3;portugues
130;Os bichos. -;6;13;430.22;09/01/2001;2;portugues
131;Manual de sanidad avicola ;17;13;257.18;25/07/2003;3;portugues
132;Casa grande & senzala comedia em 3 atos ;22;13;425.69;27/05/2014;4;portugues
133;àcaros e insetos associados a algumas culturas irrigadas do sub-médio Sào Francisco ;65;13;102.24;23/08/2011;2;portugues
134;Anais do II Simpísio Avançado de Solos e Nutriçào de Plantas ;31;13;69.13;06/10/2010;4;portugues
135;Constelações organizacionais;29;13;380.22;19/04/2009;2;portugues
136;Drums ;7;13;253.94;06/07/2015;3;portugues
137;Um tigre, dois tigres, três tigres;41;13;253.28;04/09/2003;3;portugues
138;Macroeconomia ;21;13;391.91;08/08/2000;3;portugues
139;Neurobiology of Huntington's disease;61;13;250.04;21/11/2000;2;portugues
140;Francisco José de Lacerda e Almeida;44;13;43.15;21/06/2006;1;portugues
141;Shakespeare ;8;13;257.53;29/10/2015;2;portugues
142;Data quality and record linkage techniques ;6;13;241.45;02/04/2017;1;portugues
143;Bibliografia de e sobre Tercio Rosado Maia, no Boletim Bibliográfico e na Coleçào Mossoroense ;67;13;196.05;27/11/2014;5;portugues
144;O mundo na cozinha;69;13;457.39;12/09/2006;3;portugues
145;Medidas cautelares;65;1;357.39;20/03/2003;1;portugues
146;Uso de modelos i* para enriquecer requisitos em métodos ágeis;59;1;419.86;01/04/2006;5;portugues
147;Os temas de movimento de Rudolf Laban;36;1;363.6;20/06/2017;2;portugues
148;Jogos, conjuntos e matemática;9;1;399.12;24/04/2009;2;portugues
149;Desvendando a fâsica do corpo humano;40;1;14.25;24/06/2008;4;portugues
150;Pets;46;1;67.34;13/09/2003;4;portugues
151;Jean-Jacques Rousseau ;46;1;144.7;25/07/2008;5;portugues
152;Electrodynamics ;56;1;60.98;16/05/2012;2;portugues
153;A ética protestante e o espârito do capitalismo;57;1;371.61;01/01/2013;2;portugues
154;"Biologia alimentar e morfohistologia do tubo digestírio do Mussum, Synbranchus marmoratus, Bloch (Osteichthues: Synbranchidae) no açude Marechal Dutra ""Gargalheiras"", localizado no semi-árido brasileiro";4;1;37.62;09/12/2014;5;portugues
155;Traité de caractérologie ;35;1;448.98;28/01/2001;1;portugues
156;Esculpir o tempo ;47;1;443.89;14/02/2011;3;portugues
157;As bases do processo classificatírio em arquivâstica ;11;1;148.58;15/09/2018;1;portugues
158;Planejamento de bibliotecas;67;1;477.19;29/06/2001;5;portugues
159;Cronica;25;1;94.57;21/01/2001;1;portugues
160;Ninoca vai à  escola ;66;1;11.63;22/05/2010;1;portugues
161;O casamento da Bruxa Onilda ;36;1;480.81;14/06/2015;1;portugues
162;Agente penitenciário;5;1;489.27;05/10/2008;5;portugues
163;Inglês-Português dicionário técnico pormenorizado de aeronáutica, automobilismo, estradas de ferro, marinha mercante, eletricidade, rádio, televisào ;42;1;161.67;04/04/2002;3;portugues
164;Gramática reflexiva;42;1;252.48;09/07/2004;2;portugues
165;Molecular markers, natural history, and evolution ;24;1;324.77;12/05/2015;1;portugues
166;Manual de processamento mânimo de frutas e hortaliças ;50;1;121.78;05/01/2016;1;portugues
167;Espécies nativas para piscicultura no Brasil ;59;1;412.98;07/03/2007;4;portugues
168;Direito social na Uniào Européia e Mercosul;45;1;480.8;24/12/2002;3;portugues
169;Projeto de aberturas em almas de vigas de aço e vigas mistas de aço e concreto. ;38;1;156.7;11/10/2018;1;portugues
170;Modelo de gerenciamento de estoques de peças de reposiçào para empresas de transporte urbano de passageiros;43;1;271.84;30/11/2001;5;portugues
171;Morfologia vegetal;58;1;104.15;08/12/2005;5;portugues
172;Problemas de estética ;72;1;210.01;21/03/2016;3;portugues
173;Recopilacion, organizacion e interpretacion de datos ;74;1;279.81;09/07/2005;5;portugues
174;Numerical methods in biomedical engineering ;28;1;76.32;09/10/2006;4;portugues
175;Memírias de leitura;60;1;399.31;25/04/2010;5;portugues
176;Como aplicar conceitos de marketing ;27;1;511.8;12/11/2002;2;portugues
177;O pinto e a senhora sua màe;55;1;479.13;16/02/2011;2;portugues
178;Circuits, systems and signals for bioengineers;9;1;401.47;12/12/2008;2;portugues
179;Polâticas públicas no Brasil ;66;1;284.84;08/02/2017;5;portugues
180;John Ford ;60;1;305.5;03/01/2009;5;portugues
181;Joan Crawford;44;1;231.69;20/11/2009;1;portugues
182;Roteiro de um projeto de irrigaçào por aspersào ;52;1;228.02;28/02/2017;1;portugues
183;Relato de um náufrago;29;1;279.05;20/10/2008;1;portugues
184;Terapia de crise;44;1;433.42;25/01/2011;3;portugues
185;Handbook of energy technology;38;1;462.78;21/01/2001;1;portugues
186;Em busca da liberdade ;19;1;103.97;04/12/2013;4;portugues
187;Para passar em concursos jurâdicos:;54;1;253.46;14/05/2013;5;portugues
188;Dicionário alemào-português ;4;1;145.35;14/11/2013;3;portugues
189;Efeitos da tilápia do Nilo, Oreochromis niloticus, sobre a biomassa planctônica e a transparência da água ao longo de um gradiente de enriquecimento por nutrientes;44;1;261.71;10/05/2004;2;portugues
190;Encountering development;18;1;142.22;03/06/2006;3;portugues
191;Natal, outra cidade;23;1;76.18;06/02/2003;4;portugues
192;Ensino por investigaçào ;5;1;78.12;25/09/2007;3;portugues
193;Beginning C++ through game programming ;47;1;382.99;11/12/2003;4;portugues
194;Olhos de cào azul ;16;1;476.39;26/09/2000;1;portugues
195;Bioquâmica  ;17;1;33.37;24/06/2006;1;portugues
196;Elementos de engenharia das reações quâmicas ;29;1;367.37;30/05/2011;5;portugues
197;Sistema financeiro;2;1;301.06;19/11/2002;3;portugues
198;A joaninha que perdeu as pintinhas ;60;1;326.66;24/12/2004;4;portugues
199;Como aproveitar bem o leite no sâtio ou chácara ;48;1;465.89;13/01/2008;1;portugues
200;Fisiologia do esporte e do exercâcio ;6;1;477.64;06/12/2011;1;portugues
201;As grandes religiões;18;1;495.83;25/03/2017;3;portugues
202;O Brasil imperial  ;43;1;74.12;30/08/2018;4;portugues
203;Deus nos subterrâneos da Russia ;8;1;313.02;16/01/2005;5;portugues
204;O arroz;71;1;158.21;03/07/2006;2;portugues
205;Teoria da contabilidade ;56;1;367.71;19/01/2013;3;portugues
206;Psicopatologia fenômeno-estrutural ;8;1;166.55;30/06/2013;3;portugues
207;Mecânica dos fluidos;31;1;354.29;24/03/2015;5;portugues
208;Sally e a maldiçào do rubi;73;1;79.07;24/01/2003;4;portugues
209;Enseada amena ;2;1;500.94;25/12/2003;1;portugues
210;Crepúsculo dos âdolos, ou, Como filosofar com o martelo ;57;1;375.27;11/05/2012;3;portugues
211;Criminalidade econômica e as novas perspectivas de repressào penal ;52;1;429.32;19/09/2017;5;portugues
212;A ordem do sexual ;69;1;84.06;22/03/2018;4;portugues
213;O circo eletrônico;24;1;285.44;26/11/2003;2;portugues
214;Tribunal Regional Eleitoral;6;1;272.14;26/06/2011;2;portugues
215;Resumos [do] VIII Encontro de Pesquisa e Extensào E,;51;1;160.08;13/07/2009;3;portugues
216;Argumentaçào e linguagem ;14;1;168.28;17/07/2017;2;portugues
217;1000 lugares para conhecer antes de morrer;50;1;117.95;12/07/2016;5;portugues
218;Diário de Perséfone ;23;1;357.98;29/04/2008;4;portugues
219;Curso de dinâmica para liderança cristà ;64;1;91.99;10/12/2012;1;portugues
220;A universidade e a liberdade humana ;15;1;481.65;24/03/2018;2;portugues
221;"Cântico de natal ; O grilo da lareira ";61;1;498.8;26/06/2012;4;portugues
222;Viagem pelo ombro da minha jaqueta;73;1;248.98;18/10/2009;5;portugues
223;Típicos avançados da metrologia mecânica;23;1;362.77;24/01/2008;4;portugues
224;Ministro da morte;2;1;462.57;08/09/2011;2;portugues
225;Psicoterapia breve infantil;71;1;47.91;26/02/2007;5;portugues
226;PASW aplicado à  pesquisa acadêmica ;14;1;243.33;31/05/2003;4;portugues
227;Polâtica e plano municipal de saneamento ambiental;64;1;175.24;16/01/2017;3;portugues
228;Dengue;4;1;434.02;17/02/2018;4;portugues
229;Chemistry of the environment ;23;1;253.7;11/01/2009;1;portugues
230;Tempo de ameaça;5;1;482.94;14/11/2009;3;portugues
231;Inspiration;35;1;299.16;23/05/2009;4;portugues
232;The Angel of Death;25;1;174.55;29/06/2005;3;portugues
233;Ensaios escoteiros ;33;1;348.0;08/04/2018;1;portugues
234;Avaliaçào dos impactos ambientais e sociais gerados pela utilizaçào do kit Embrapa de ordenha manual na produçào de leite de cabra;48;1;387.61;28/03/2003;5;portugues
235;Fatores de influência na produçào de leite bovino sobre os nâveis da contagem bacteriana total;67;1;444.17;24/07/2007;3;portugues
236;O fim da histíria da arte ;19;1;25.3;29/09/2009;2;portugues
237;Java para a Web com Servlets, JSP e EJB ;62;1;207.04;05/06/2009;2;portugues
238;Lei de execuçào penal;71;1;456.72;06/05/2008;1;portugues
239;Brain function and oscillations ;73;1;274.82;10/08/2005;5;portugues
240;Carvào ;31;1;179.18;28/05/2009;3;portugues
241;Ponto de impacto ;58;1;272.62;17/04/2013;5;portugues
242;Histíria da eternidade ;43;1;105.92;13/04/2013;5;portugues
243;Atençào primária em saúde na Venezuela;31;1;237.22;02/08/2017;5;portugues
244;O que é Histíria Cultural? ;47;1;127.81;30/04/2012;5;portugues
245;Manual de condutas para alterações oculares em hansenâase ;65;1;230.16;13/10/2007;3;portugues
246;Calculus and analytic geometry ;14;1;85.88;19/09/2013;5;portugues
247;Contando o passado, tecendo a saudade;36;1;434.1;05/12/2004;1;portugues
248;Acima de qualquer suspeita  ;44;1;251.81;12/07/2006;4;portugues
249;Utopia e agonia;1;1;348.63;31/07/2012;4;portugues
250;Infection and immunity ;16;1;54.11;15/08/2001;2;portugues
251;Itinerários oficiais da leitura;31;1;182.62;28/07/2008;4;portugues
252;As filhas do falecido coronel e outras histírias ;48;1;126.64;17/03/2013;4;portugues
253;Alegorias do subdesenvolvimento;67;1;100.14;09/06/2013;5;portugues
254;Manual de olericultura;30;1;214.68;15/12/2001;2;portugues
255;Planejamento governamental para municâpios;28;1;131.36;07/04/2016;5;portugues
256;Â¿Qué es el comunismo?;17;1;159.04;06/02/2002;3;portugues
257;Crenças normativas e comportamentais e suas influências na intençào de adoçào de um sistema de informaçào;61;1;316.25;03/08/2007;1;portugues
258;O feminino em Atenas ;69;1;96.53;23/09/2015;2;portugues
259;Memorias clandestinas e sua museificaçào ;63;1;227.02;13/09/2006;5;portugues
260;Flores raras e banalâssimas;40;1;504.19;08/09/2013;3;portugues
261;Brazilianart VII;32;1;406.18;15/10/2006;5;portugues
262;Semiárido piauiense;19;1;389.66;25/09/2018;4;portugues
263;OAB Impetus;67;1;67.74;21/07/2000;3;portugues
264;O enigma de Rama ;19;1;495.71;03/04/2018;2;portugues
265;"O pensamento vivo de Voltaire ;";29;1;18.0;03/07/2018;5;portugues
266;Português FCC;67;1;276.78;09/08/2000;2;portugues
267;Dictionary of automotive engineering ;11;1;56.79;03/10/2016;2;portugues
268;Vida de escritor ;60;1;174.61;20/09/2013;2;portugues
269;Em busca da escola ideal  ;68;1;278.76;24/12/2000;1;portugues
270;Projeto Tiriri;49;1;506.87;12/04/2001;4;portugues
271;Convective heat transfer ;53;1;247.96;17/03/2014;4;portugues
272;Mistérios do desconhecido ;17;1;398.64;24/12/2015;3;portugues
273;Administraçào desportiva moderna ;62;1;391.03;12/04/2013;2;portugues
274;Escolha e inserçào profissionais;13;1;110.01;02/05/2008;1;portugues
275;Materiais estruturados à  base de nâquel, cobalto, cobre e manganês para combustào de metano por recombustào quâmica;2;1;350.5;29/08/2012;4;portugues
276;Histology and cell biology;5;1;244.81;04/06/2015;3;portugues
277;Plate tectonics;68;1;46.48;20/05/2005;2;portugues
278;Desenvolvimento de emulsões contendo íleos vegetais para uso cosmético;20;1;263.33;05/01/2005;1;portugues
279;Biomineralization;32;1;402.33;04/09/2007;4;portugues
280;Manual de padronizaçao de textos;25;1;415.0;26/10/2018;4;portugues
281;Cuadernos de fisiologia normal y patologica ;5;1;245.6;07/07/2015;3;portugues
282;Physiology;59;1;282.73;22/12/2011;1;portugues
283;Introduçào à  pesquisa operacional ;61;1;271.88;11/06/2015;2;portugues
284;El planificador en la sociedad;9;1;289.59;10/02/2010;4;portugues
285;O menino e o muro ;57;1;495.34;13/01/2010;3;portugues
286;Dom Marcelo de Sevilha;68;1;87.57;22/09/2016;1;portugues
287;Defensivos agrâcolas;71;1;294.64;18/12/1999;2;portugues
288;Marine pollution and sea life ;28;1;27.47;19/02/2016;3;portugues
289;Propaganda;28;2;87.95;11/11/2004;1;portugues
290;Os quilombolas e a base de lançamento de foguetes de Alcântara;50;2;435.29;10/08/2015;2;portugues
291;O vale do Sào Francisco ;15;2;493.77;19/08/2015;5;portugues
292;Técnicas projetivas com crianças ;36;2;201.46;16/02/2009;2;portugues
293;Dicionário de escritores norte-rio-grandenses;34;2;40.2;03/06/2018;5;portugues
294;Gramática da Lângua Portuguesa ;27;2;65.11;05/04/2008;3;portugues
295;O todo poderoso ;30;2;391.78;14/12/2007;4;portugues
296;Mythes et réalités;24;2;396.23;12/06/2002;1;portugues
297;A ciência antiga e medieval;42;2;373.1;18/08/2001;2;portugues
298;A Aprendizagem de inglês mediada por jogos eletrônicos do tipo MMORPG;13;2;383.22;18/09/2015;4;portugues
299;Atividade fâsica e obesidade ;43;2;18.21;11/05/2010;1;portugues
300;Dicionário prático português-russo;25;2;118.55;02/10/2015;1;portugues
301;Jornal (extraits)  ;14;2;262.24;27/03/2000;2;portugues
302;Temas de direito ;74;2;418.63;15/11/2017;5;portugues
303;O amor da lângua  ;4;2;385.33;27/05/2008;3;portugues
304;Prevençào e controle de risco em máquinas, equipamentos e instalações ;73;2;169.38;19/10/2005;3;portugues
305;Nordeste do Brasil;18;2;416.13;02/03/2013;1;portugues
306;Frederic Skinner ;43;2;301.89;11/04/2015;2;portugues
307;Kit de treinamento MCITP (Exame 70-647);33;2;296.93;16/04/2008;1;portugues
308;Koneman diagnístico microbiolígico;50;2;61.52;10/06/2007;4;portugues
309;Fisioterapia neonatal e pediátrica ;34;2;163.68;16/10/2014;1;portugues
310;A batalha de Wagram ;74;2;298.73;10/09/2001;4;portugues
311;Geografia;19;2;456.5;23/08/2006;3;portugues
312;Pilates no Brasil;72;2;36.68;08/12/2009;1;portugues
313;Comparaçào de desempenho da deconvoluçào preditiva multicanal e da filtragem F-K na atenuaçào de múltiplas do fundo do mar;21;2;515.24;09/08/2016;4;portugues
314;Futebol, paixào e desilusào do outro lado do campo ;54;2;411.21;21/02/2004;3;portugues
315;Retratos de cotidiano ;13;2;180.09;09/07/2014;1;portugues
316;Biblioteca educaçào é cultura;62;2;438.79;06/12/2004;1;portugues
317;Emprego público nos paâses desenvolvidos;34;2;457.16;10/02/2018;3;portugues
318;Geoquâmica;50;2;337.76;26/11/2013;2;portugues
319;Gestào pública responsável;74;2;453.57;14/02/2011;3;portugues
320;Literatura e direito:;64;2;22.98;09/08/2006;1;portugues
321;De Hélio Galvào a Adauto da Câmara ;40;2;206.06;16/09/2011;4;portugues
322;Compendio de psicologia ;25;2;307.72;06/08/2000;1;portugues
323;Maus samaritanos;20;2;109.43;17/08/2013;4;portugues
324;Análise de custos através da margem de contribuiçào como viabilidade de produtos competitivos ;68;2;153.16;17/07/2004;5;portugues
325;A escrita bastarda de Salman Rushdie ;12;2;74.03;19/05/2014;4;portugues
326;Computaçào gráfica;5;2;10.7;02/02/2001;4;portugues
327;O que é boxe;21;2;269.53;14/02/2004;2;portugues
328;Regras para análise de sementes. -;22;2;237.92;01/08/2010;5;portugues
329;Planificacion urbana y regional;54;2;89.22;07/06/2005;1;portugues
330;Uma ciência moderna e imperial;73;2;432.55;24/06/2014;4;portugues
331;Meios de comunicaçào na migraçào;44;2;488.85;09/07/2000;1;portugues
332;A polâtica da literatura e suas faces na palavra muda de Manoel de Barros;9;2;294.52;04/07/2009;4;portugues
333;Appassionata;25;2;180.37;07/06/2004;4;portugues
334;Um cidadào do mundo;38;2;124.42;08/09/2005;4;portugues
335;Ensino do processo de enfermagem;50;2;38.71;26/08/2011;4;portugues
336;A Paraâba que podemos ser;18;2;84.9;23/11/2016;1;portugues
337;Recreio nas férias 2009;62;2;34.49;18/11/2002;1;portugues
338;Projeto Jequitinhonha, Estados de Minas Gerais e Bahia;38;2;282.75;20/05/2015;2;portugues
339;"Constituiçào Federal ; Cídigo Comercial ; Cídigo Tributário Nacional ; Cídigo de Processo Civil ; Cídigo Civil (excertos), legislaçào complementar ";65;2;249.9;04/07/2003;3;portugues
340;Note conjointe ;42;2;15.54;21/03/2010;1;portugues
341;Como desenvolver o poder da mente;42;2;138.97;26/08/2006;3;portugues
342;Genes IX ;10;2;215.29;15/11/2005;1;portugues
343;Buscando novo rumo;62;2;309.63;09/03/2009;4;portugues
344;Retorno à  condiçào operária;20;2;13.99;16/02/2012;4;portugues
345;Guarda-chuvas esquecidos  ;30;2;478.91;09/01/2011;2;portugues
346;O design brasileiro antes do design;18;2;167.65;29/12/2001;3;portugues
347;A dieta do abdômen;52;2;26.64;03/07/2015;4;portugues
348;Organic chemistry;10;2;227.9;19/05/2003;4;portugues
349;Validaçào de protocolo de assistência para pessoas com úlcera venosa na atençào primária;26;2;238.25;12/01/2014;5;portugues
350;Evaluation;53;2;459.17;14/07/2013;4;portugues
351;Giant ore deposits ;67;2;142.53;03/05/2006;3;portugues
352;"El cine;";29;2;277.99;20/04/2009;5;portugues
353;Direitos sexuais e reprodutivos na integralidade da atençào à  saúde de pessoas com deficiência ;4;2;247.41;13/12/2013;5;portugues
354;Thomas Jefferson ;41;2;64.66;31/12/1999;3;portugues
355;Reversing;73;2;61.58;19/05/2006;5;portugues
356;Tradiçào e renovações da identidade romana em Tito Lâvio e Tácito ;51;2;313.08;30/03/2000;1;portugues
357;Joaquim Nabuco Embaixador ;39;2;156.67;18/07/2000;5;portugues
358;Regulaçào do trabalho do adolescente ;51;2;352.42;31/05/2012;4;portugues
359;Thoughts and meditations ;22;2;238.39;11/09/2010;4;portugues
360;Conversando sobre psicossomática ;43;2;284.2;08/07/2018;3;portugues
361;Sinais e sistemas lineares ;15;2;319.43;24/05/2009;4;portugues
